"Sample","FAM","VIC"
"C56","33.3769987370555","NaN"
"C57","NaN","29.3571882985109"
"C64","28.8879637995938","29.1619649891095"
"C65","33.4373855102426","33.1722261552917"
"C66","30.6625565722139","NaN"
"C67","28.905764298306","NaN"
"C68","31.4191907268031","NaN"
"D78","27.7759717310139","NaN"
"D80","26.0193863848073","NaN"
"D81","22.0258627680808","23.3072855560356"
"D82","26.0818831788556","NaN"
"C56","33.5941187170915","NaN"
"C57","37.8397343833839","29.4486737799048"
"C64","29.6449045233047","30.0131691485213"
"C65","32.7142383226395","32.2852528482564"
"C66","30.837318019546","NaN"
"C67","29.3896443596835","NaN"
"C68","32.022971985404","NaN"
"D78","27.2319472736564","NaN"
"D80","26.0639873238415","NaN"
"D81","21.5180404113812","22.8555793024384"
"D82","25.7949509245294","NaN"
"C56","32.2618625628923","NaN"
"C57","35.5906826251141","29.3625192986009"
"C64","27.9613090674494","28.9838359202887"
"C65","33.8307376725743","32.641040690417"
"C66","30.428730173486","NaN"
"C67","28.866421711151","38.3701834949616"
"C68","31.6940228771186","NaN"
"D78","27.3005441870094","NaN"
"D80","25.9968610544494","NaN"
"D81","21.7437640616181","23.0530071045451"
"D82","26.5358122543551","NaN"
