"Sample","Site","FAM_mean","VIC_mean","cellnum_C","cellnum_D","D_prop","C_prop","CDratio_log"
"Alu_F1","Faga'alu",25.0754904966667,NA,0,31097.4681061557,1,0,-20
"Alu_F3","Faga'alu",25.9368468233333,NA,0,17117.1296359787,1,0,-20
"Alu_F4","Faga'alu",23.738731315,NA,0,78547.0071175601,1,0,-20
"AluF2","Faga'alu",26.0699537533333,36.088671655,1.67180124877122,15608.5212947361,0.999892903230697,0.000107096769302695,-9.14167064370192
"AluF5","Faga'alu",22.8351376966667,NA,0,146939.455012441,1,0,-20
"AluF6","Faga'alu",22.86576371,NA,0,143853.050584739,1,0,-20
"AluF7","Faga'alu",24.9280036966667,NA,0,34444.7456259274,1,0,-20
"AluF8","Faga'alu",21.8706281066667,NA,0,286737.66376281,1,0,-20
"CanII_F1","Cannery",27.1257083033333,NA,0,7508.4098995203,1,0,-20
"CanII_F2","Cannery",26.1162688166667,NA,0,15115.3962927762,1,0,-20
"CanII_F3","Cannery",28.8799448533333,NA,0,2225.71807435882,1,0,-20
"CanII_F4","Cannery",26.2687007333333,NA,0,13599.8136865898,1,0,-20
"CanIIF6","Cannery",27.0429508633333,NA,0,7951.708398515,1,0,-20
"CanIIF7","Cannery",30.0982201066667,NA,0,956.605246336862,1,0,-20
"CanIIF8","Cannery",26.4834636133333,NA,0,11718.7931860298,1,0,-20
"CocoII_F1","Coconut Point",28.6835078566667,NA,0,2550.37228848447,1,0,-20
"CocoII_F2","Coconut Point",28.04798076,NA,0,3962.01668380208,1,0,-20
"CocoII_F3","Coconut Point",23.8899863533333,NA,0,70728.970740229,1,0,-20
"CocoII_F4","Coconut Point",23.91187216,NA,0,69664.1037123355,1,0,-20
"CocoIIF5","Coconut Point",26.37418799,NA,0,12640.9039170821,1,0,-20
"CocoIIF6","Coconut Point",23.14628027,NA,0,118433.667251378,1,0,-20
"CocoIIF7","Coconut Point",26.5105892733333,NA,0,11500.5140413948,1,0,-20
"CocoIIF8","Coconut Point",26.2754673366667,NA,0,13536.1764868535,1,0,-20
"Tele_F1","Faga'tele",23.8607543733333,30.7431860733333,67.9729544171153,72176.7032026636,0.999059128533301,0.000940871466699118,-6.96776270558761
"Tele_F2","Faga'tele",27.8473200133333,22.3899366333333,22228.737100502,4553.24693259772,0.170011561763698,0.829988438236302,1.58554532574549
"Tele_F3","Faga'tele",24.88099216,26.2341336066667,1547.73353012133,35585.6468495953,0.958319616628096,0.0416803833719041,-3.13515075599203
"Tele_F4","Faga'tele",26.3050659366667,37.7387724366667,0.532665800613556,13261.2951702864,0.999959834661768,4.01653382321936e-05,-10.1224660011611
"TeleF5","Faga'tele",29.8082587866667,35.7064030633333,2.17900866767093,1169.55274680236,0.998140351955558,0.00185964804444241,-6.2855066532435
"TeleF6","Faga'tele",25.1379367466667,35.6847347366667,2.21198294477478,29780.1469680447,0.999925728417,7.4271583000355e-05,-9.50770786804002
"TeleF7","Faga'tele",28.1938231666667,NA,0,3581.07454007398,1,0,-20
"TeleF8","Faga'tele",25.9991116266667,NA,0,16394.0919394089,1,0,-20
"Vat_F1","Vatia",25.89880611,NA,0,17574.4740004901,1,0,-20
"Vat_F2","Vatia",27.2635366833333,NA,0,6824.29036110705,1,0,-20
"Vat_F3","Vatia",24.33765192,NA,0,51860.485075184,1,0,-20
"Vat_F4","Vatia",26.4557147833333,NA,0,11946.3743617293,1,0,-20
"VatiaF5","Vatia",25.19080537,30.4788954233333,81.6386021600515,28708.585522799,0.997164363785231,0.00283563621476905,-5.86264928835131
"VatiaF6","Vatia",22.2765293333333,35.507279975,2.50150272436415,216419.454451587,0.999988441548302,1.15584516983676e-05,-11.3680820812992
"VatiaF7","Vatia",25.9349597,NA,0,17139.5344197382,1,0,-20
