"Sample","Site","FAM_log_mean","VIC_log_mean","cellnum_C","cellnum_D","D_prop","C_prop"
"Alu_F1","Faga'alu",1.39924272157794,NA,0,416855749740.913,1,0
"Alu_F3","Faga'alu",1.4138985113648,NA,0,412642507442.618,1,0
"Alu_F4","Faga'alu",1.37545718190057,NA,0,423785367287.025,1,0
"CanII_F1","Cannery",1.4333736149191,NA,0,407109628058.276,1,0
"CanII_F2","Cannery",1.41689329937263,NA,0,411786820652.093,1,0
"CanII_F3","Cannery",1.46059311178372,NA,0,399500648335.857,1,0
"CanII_F4","Cannery",1.41943846504096,NA,0,411060997309.664,1,0
"CocoII_F1","Coconut Point",1.45762844418537,NA,0,400322446675.962,1,0
"CocoII_F2","Coconut Point",1.44789779232202,NA,0,403031657303.489,1,0
"CocoII_F3","Coconut Point",1.3782042462367,NA,0,422979196902.206,1,0
"CocoII_F4","Coconut Point",1.37853812415563,NA,0,422881319617.094,1,0
"Tele_F1","Faga'tele",1.37767295470549,1.48773677576554,43561609942.5851,423134993271.452,0.906659680737795,0.0933403192622055
"Tele_F2","Faga'tele",1.44478336248154,1.35004991030448,47923860847.8249,403902645011.643,0.893933046808168,0.106066953191832
"Tele_F3","Faga'tele",1.39583280521939,1.41884204784025,45692329674.5946,417842184411.583,0.901426262152941,0.0985737378470587
"Tele_F4","Faga'tele",1.42002588712489,1.5766388526278,40958281842.8318,410893659689.044,0.909354640141693,0.0906453598583074
"Vat_F1","Vatia",1.41327246684572,NA,0,412821608799.076,1,0
"Vat_F2","Vatia",1.43557989057298,NA,0,406487521797.739,1,0
"Vat_F3","Vatia",1.38627444530751,NA,0,420619726154.878,1,0
"Vat_F4","Vatia",1.42251886617475,NA,0,410184247978.753,1,0
"AluF5","Faga'alu",1.35859629142871,NA,0,428767235259.594,1,0
"AluF6","Faga'alu",1.3591483640311,NA,0,428603191333.667,1,0
"AluF7","Faga'alu",1.39668141823405,NA,0,417596476178.106,1,0
"AluF8","Faga'alu",1.3398483134219,NA,0,434375472733.156,1,0
"CanIIF6","Cannery",1.43205008560481,NA,0,407483282049.442,1,0
"CanIIF7","Cannery",1.47854020413833,NA,0,394561653853.95,1,0
"CanIIF8","Cannery",1.4229674363895,NA,0,410056731192.882,1,0
"CocoIIF5","Coconut Point",1.42117350037871,NA,0,410566938173.698,1,0
"CocoIIF6","Coconut Point",1.36446375642539,NA,0,427026972938.967,1,0
"CocoIIF7","Coconut Point",1.42341880062101,NA,0,409928460154.225,1,0
"CocoIIF8","Coconut Point",1.41954870962684,NA,0,411029586986.134,1,0
"TeleF5","Faga'tele",1.47431753866105,1.55265289938766,41644938162.5972,395718199408.211,0.904781782950661,0.0952182170493391
"TeleF6","Faga'tele",1.40032387822617,1.55241222151391,41651886166.8375,416543474781.716,0.909095792500801,0.0909042074991986
"TeleF7","Faga'tele",1.45015350663753,NA,0,402401992754.499,1,0
"TeleF8","Faga'tele",1.41495743338003,NA,0,412339743586.153,1,0
"VatiaF5","Vatia",1.40123834461684,1.48399845091809,43674633563.3021,416279528279.305,0.905045682403789,0.0949543175962113
"VatiaF6","Vatia",1.34783603205992,1.55031155885037,41712578337.4443,431977126951.983,0.911941133886459,0.0880588661135408
"VatiaF7","Vatia",1.41386621748514,NA,0,412651744305.742,1,0
"AluF2","Faga'alu",1.41613907706063,1.55720950804989,41513614267.1766,412002153758.921,0.908462688193043,0.0915373118069572
